"Current_Player","Historical_Player","Historical_Year","Distance","Similarity_Score"
"Dylan Windler","John Jenkins",2015,0.608366566487433,92.44
"Kobi Simmons","Francisco Garcia",2012,0.608748433999069,92.36
"Desmond Bane","Damian Lillard",2013,0.609433545068474,92.68
"Jeremy Sochan","Andrea Bargnani",2008,0.60970952214097,92.22
"Franz Wagner","Keith Van",2004,0.610480752363088,92.5
"Scoot Henderson","Jim Jackson",1993,0.610959934307694,92.4
"Alex Caruso","Robert Horry",1997,0.611848839924174,92.47
"Jacob Toppin","David Wood",1996,0.612794368171131,92.39
"Jalen Smith","David Lee",2017,0.612827901383089,92.61
"Corey Kispert","Rex Chapman",1996,0.612949806435894,92.33
"Jason Preston","Tremaine Fowlkes",2004,0.614205429535392,92.1
"Kelly Olynyk","Josh McRoberts",2013,0.614269684114705,92.4
"Jabari Smith Jr.","Ersan Ilyasova",2010,0.615725374316393,92.36
"Taj Gibson","Ira Newble",2006,0.61587189387018,91.93
"R.J. Hampton","Jamison Brewer",2005,0.615931694272729,92.16
"Chimezie Metu","Rashard Lewis",2011,0.616255127635213,92.22
"Jalen Williams","Wally Szczerbiak",2003,0.617598304522151,92.55
"Keyonte George","Brandon Knight",2012,0.619036237696048,92.29
"Josh Giddey","Delonte West",2006,0.620021579588374,92.3
"Cole Swider","Richie Frahm",2006,0.620318728643056,92.08
"Jakob Poeltl","Chris Wilcox",2006,0.62131938747619,92.44
"Onyeka Okongwu","Richaun Holmes",2017,0.622926399775505,92.35
"Nick Richards","Olden Polynice",1991,0.624616987325946,92.28
"Isaiah Hartenstein","Ian Mahinmi",2016,0.626106783355085,92.54
"James Johnson","Moochie Norris",2006,0.629190118670441,91.73
"Pascal Siakam","Jeff Green",2015,0.629524676406595,92.34
"Alperen Şengün","Robert Horry",1994,0.630646729359405,92.34
"Jamaree Bouyea","Greg Smith",2012,0.631648778814906,91.98
"Jerome Robinson","Donny Marshall",1996,0.632724622811813,91.9
"Buddy Boeheim","Allen Crabbe",2014,0.632755785827723,91.94
"Herbert Jones","Aaron McKie",1996,0.632762801242891,92.19
"Admiral Schofield","James Young",2016,0.633164531029113,91.94
"Jamal Murray","Danny Ainge",1989,0.63525803160457,92.37
"Jonathan Isaac","Terrence Jones",2013,0.635274188494463,92.32
"Saddiq Bey","Ersan Ilyasova",2016,0.635539861574315,92.04
"Luka Garza","Lester Hudson",2010,0.63560269647492,92.12
"Jrue Holiday","Rick Fox",2001,0.636253272364573,92.16
"Jeff Dowtin","Mike Wilks",2008,0.637742185820111,92.24
"Aaron Gordon","Calvin Natt",1984,0.638133875689342,92.18
"CJ McCollum","Michael Finley",2003,0.641361398816187,92.34
"Trayce Jackson-Davis","Brandan Wright",2013,0.643086531046474,92.25
"Jaylen Brown","Jeff Green",2009,0.643352757404458,92.1
"Josh Minott","Cal Bowdler",2001,0.64511343355604,92.18
"Braxton Key","Austin Croshere",2009,0.646146774200498,92
"Andre Drummond","Jordan Hill",2016,0.646241897470313,92.12
"Jordan Miller","Aaron Swinson",1995,0.648334853520759,91.88
"Timmy Allen","Avery Bradley",2011,0.649062400341347,91.88
"Adama Sanogo","Jamal Sampson",2004,0.649345741402636,91.92
